coin_name,coin_symbol,coin_price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,time
Bitcoin,BTC,41205.97899487025,32068060738.97198,0.77248862,5.48975898,9.1399987,2022-02-28T18:29:00.000Z
Bitcoin,BTC,41211.31873597096,32071138417.58367,0.76623568,5.5092645,9.23003988,2022-02-28T18:30:00.000Z
Bitcoin,BTC,41191.61748322757,32109486772.19057,0.72807247,5.44169082,9.25018468,2022-02-28T18:31:00.000Z
Bitcoin,BTC,41191.61748322757,32109486772.19057,0.72807247,5.44169082,9.25018468,2022-02-28T18:31:00.000Z
Bitcoin,BTC,41192.81252653777,32103611864.710545,0.6785032,5.44758958,9.22344572,2022-02-28T18:33:00.000Z
Bitcoin,BTC,41184.09541817374,32012686796.719078,0.64596813,5.44963067,9.32204446,2022-02-28T18:34:00.000Z
Bitcoin,BTC,41192.1737294227,31819348454.259445,0.01998802,7.41117618,8.26192278,2022-02-28T19:42:00.000Z
Bitcoin,BTC,41311.301487351586,31545758681.717037,0.26321257,9.24508899,8.29336061,2022-02-28T20:00:00.000Z
Bitcoin,BTC,41311.301487351586,31545758681.717037,0.26321257,9.24508899,8.29336061,2022-02-28T20:00:00.000Z
Bitcoin,BTC,41311.301487351586,31545758681.717037,0.26321257,9.24508899,8.29336061,2022-02-28T20:00:00.000Z
Bitcoin,BTC,41339.90470552774,31352125914.189632,0.57946844,9.71810276,8.18671504,2022-02-28T20:07:00.000Z
Bitcoin,BTC,41399.42060392469,31322245785.986347,0.544684,9.79832406,8.57058896,2022-02-28T20:21:00.000Z
Bitcoin,BTC,43835.04463200548,35752988989.19699,0.5837404,6.45154214,15.70305193,2022-03-01T19:22:00.000Z
