coin_name,coin_symbol,coin_price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,time
Cardano,ADA,0.9260948330578909,1784852801.9945126,0.01710177,4.82601991,0.97723983,2022-02-28T18:29:00.000Z
Cardano,ADA,0.9262458126472006,1784553448.507576,0.00501019,4.84616859,1.04145291,2022-02-28T18:30:00.000Z
Cardano,ADA,0.9261384842601811,1785815823.8094652,0.00027714,4.82708848,1.08757367,2022-02-28T18:31:00.000Z
Cardano,ADA,0.9261384842601811,1785815823.8094652,0.00027714,4.82708848,1.08757367,2022-02-28T18:31:00.000Z
Cardano,ADA,0.9268887261796113,1786167638.0827312,0.01537629,4.9179811,1.1253123,2022-02-28T18:33:00.000Z
Cardano,ADA,0.9278258843177661,1788379078.9451532,0.02374564,5.08978597,1.29222892,2022-02-28T18:34:00.000Z
Cardano,ADA,0.92638474136939,1762586434.84652,-0.24888916,7.56233053,0.4393619,2022-02-28T19:42:00.000Z
Cardano,ADA,0.9240468702059783,1748257872.998368,-0.69071221,8.51243136,0.0435032,2022-02-28T20:00:00.000Z
Cardano,ADA,0.9240468702059783,1748257872.998368,-0.69071221,8.51243136,0.0435032,2022-02-28T20:00:00.000Z
Cardano,ADA,0.9240468702059783,1748257872.998368,-0.69071221,8.51243136,0.0435032,2022-02-28T20:00:00.000Z
Cardano,ADA,0.9249819416106807,1722822059.7596345,-0.1919358,9.20171613,-0.19407542,2022-02-28T20:07:00.000Z
Cardano,ADA,0.9240337312924827,1716945210.8686893,-0.27153788,8.92058998,0.20177496,2022-02-28T20:21:00.000Z
Cardano,ADA,0.9657867077339786,1918011166.29504,0.11687384,4.12951386,9.14371961,2022-03-01T19:22:00.000Z
