coin_name,coin_symbol,coin_price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,time
Cosmos,ATOM,28.951280387699125,1232352792.9801936,-0.59822195,1.10052203,14.32823791,2022-02-28T18:29:00.000Z
Cosmos,ATOM,28.966378705863498,1232535643.7627974,-0.55753736,1.14533187,14.42045159,2022-02-28T18:30:00.000Z
Cosmos,ATOM,29.01247734500941,1235093892.141837,-0.32018315,1.21917474,14.81455836,2022-02-28T18:31:00.000Z
Cosmos,ATOM,29.01247734500941,1235093892.141837,-0.32018315,1.21917474,14.81455836,2022-02-28T18:31:00.000Z
Cosmos,ATOM,29.05002481847621,1236948575.136464,-0.26956898,1.37778113,14.93956617,2022-02-28T18:33:00.000Z
Cosmos,ATOM,29.11510714386657,1240754972.976707,-0.3100573,1.72151438,15.19661057,2022-02-28T18:34:00.000Z
Cosmos,ATOM,29.591043504972387,1247218328.2556357,1.65491012,6.21589635,16.89299706,2022-02-28T19:42:00.000Z
Cosmos,ATOM,30.07819819639184,1272706523.926739,2.55636785,9.68702297,18.22521023,2022-02-28T20:00:00.000Z
Cosmos,ATOM,30.07819819639184,1272706523.926739,2.55636785,9.68702297,18.22521023,2022-02-28T20:00:00.000Z
Cosmos,ATOM,30.07819819639184,1272706523.926739,2.55636785,9.68702297,18.22521023,2022-02-28T20:00:00.000Z
Cosmos,ATOM,29.860323563620202,1264061284.2453475,2.40439434,9.6704777,16.98667602,2022-02-28T20:07:00.000Z
Cosmos,ATOM,29.733328537015282,1262881448.1018813,1.13959411,9.07090081,17.13991619,2022-02-28T20:21:00.000Z
Cosmos,ATOM,31.12655799153861,1573819100.2435977,0.66398972,5.70086716,28.01935072,2022-03-01T19:22:00.000Z
