coin_name,coin_symbol,coin_price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,time
Cronos,CRO,0.42083514376489717,123064625.83454828,0.33411857,1.9033078,5.27415201,2022-02-28T18:29:00.000Z
Cronos,CRO,0.4207705793377561,123086686.9135558,0.30893325,1.8758186,5.32862806,2022-02-28T18:30:00.000Z
Cronos,CRO,0.4204391365471944,122958580.05552809,0.30262292,1.75644149,5.40346574,2022-02-28T18:31:00.000Z
Cronos,CRO,0.4204391365471944,122958580.05552809,0.30262292,1.75644149,5.40346574,2022-02-28T18:31:00.000Z
Cronos,CRO,0.42039422412617644,122994988.51815575,0.27277187,1.76238795,5.33644522,2022-02-28T18:33:00.000Z
Cronos,CRO,0.4202712308608891,123200126.57392836,0.20276184,1.74282045,5.34244093,2022-02-28T18:34:00.000Z
Cronos,CRO,0.42081043889175757,122346562.81599818,0.12466485,4.08423529,4.2432846,2022-02-28T19:42:00.000Z
Cronos,CRO,0.4220831728246794,121636677.11182134,0.34002656,6.06002255,4.28464434,2022-02-28T20:00:00.000Z
Cronos,CRO,0.4220831728246794,121636677.11182134,0.34002656,6.06002255,4.28464434,2022-02-28T20:00:00.000Z
Cronos,CRO,0.4220831728246794,121636677.11182134,0.34002656,6.06002255,4.28464434,2022-02-28T20:00:00.000Z
Cronos,CRO,0.42241049795301017,119878522.57053825,0.74506931,6.63319229,4.13219079,2022-02-28T20:07:00.000Z
Cronos,CRO,0.424269128986981,120177128.38689137,1.19068869,7.12083611,4.79070217,2022-02-28T20:21:00.000Z
Cronos,CRO,0.4375703617675411,160917172.05915794,0.0718044,4.28136284,10.37851131,2022-03-01T19:22:00.000Z
