coin_name,coin_symbol,coin_price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,time
Ethereum,ETH,2806.1096656236687,20327940026.581863,0.06798925,1.57889989,6.88537163,2022-02-28T18:29:00.000Z
Ethereum,ETH,2805.8934835782607,20331725920.11409,0.0429458,1.57103236,6.96173912,2022-02-28T18:30:00.000Z
Ethereum,ETH,2805.3116237723434,20338758716.775944,0.01143575,1.54922462,7.07772837,2022-02-28T18:31:00.000Z
Ethereum,ETH,2805.3116237723434,20338758716.775944,0.01143575,1.54922462,7.07772837,2022-02-28T18:31:00.000Z
Ethereum,ETH,2805.277405011729,20331832449.401726,-0.06106171,1.58034526,6.99825482,2022-02-28T18:33:00.000Z
Ethereum,ETH,2805.1447277292973,20309573947.166164,-0.07972618,1.64946312,7.06444162,2022-02-28T18:34:00.000Z
Ethereum,ETH,2799.8099122402114,19604465091.262222,-0.25275336,5.17156519,5.98430319,2022-02-28T19:42:00.000Z
Ethereum,ETH,2804.383597453784,19275446425.85871,-0.14240138,6.94016329,5.80708164,2022-02-28T20:00:00.000Z
Ethereum,ETH,2804.383597453784,19275446425.85871,-0.14240138,6.94016329,5.80708164,2022-02-28T20:00:00.000Z
Ethereum,ETH,2804.383597453784,19275446425.85871,-0.14240138,6.94016329,5.80708164,2022-02-28T20:00:00.000Z
Ethereum,ETH,2804.7461956593024,18941190098.829086,0.15639691,7.40456704,5.65840023,2022-02-28T20:07:00.000Z
Ethereum,ETH,2813.285956959176,18615470641.489716,0.43415888,7.80050927,6.32227753,2022-02-28T20:21:00.000Z
Ethereum,ETH,2956.831314803632,20408815451.720837,0.9355336,5.56662391,13.49893589,2022-03-01T19:22:00.000Z
