coin_name,coin_symbol,coin_price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,time
Hedera,HBAR,0.22239711576740318,91999327.18157907,0.28864388,1.24162263,5.41396031,2022-02-28T18:29:00.000Z
Hedera,HBAR,0.22244135978703056,91987305.52600884,0.30403073,1.26195728,5.51259673,2022-02-28T18:30:00.000Z
Hedera,HBAR,0.22234520266374874,92086150.12879837,0.18425711,1.20605723,5.52386756,2022-02-28T18:31:00.000Z
Hedera,HBAR,0.22234520266374874,92086150.12879837,0.18425711,1.20605723,5.52386756,2022-02-28T18:31:00.000Z
Hedera,HBAR,0.22239565459899022,92032650.9380672,0.15742023,1.20883749,5.49642103,2022-02-28T18:33:00.000Z
Hedera,HBAR,0.22217105221273217,92068344.36270079,0.0241413,1.1210623,5.49466486,2022-02-28T18:34:00.000Z
Hedera,HBAR,0.22105355074896277,90906008.64392482,-0.53949933,3.22504882,4.35537986,2022-02-28T19:42:00.000Z
Hedera,HBAR,0.22159827396547174,88548316.4227947,-0.2258849,5.27108821,4.36637601,2022-02-28T20:00:00.000Z
Hedera,HBAR,0.22159827396547174,88548316.4227947,-0.2258849,5.27108821,4.36637601,2022-02-28T20:00:00.000Z
Hedera,HBAR,0.22159827396547174,88548316.4227947,-0.2258849,5.27108821,4.36637601,2022-02-28T20:00:00.000Z
Hedera,HBAR,0.22152691982392883,88067866.41687356,0.13038481,5.27131963,4.27337142,2022-02-28T20:07:00.000Z
Hedera,HBAR,0.22155025897105435,87501428.97714749,0.13760233,5.1259613,4.56951558,2022-02-28T20:21:00.000Z
Hedera,HBAR,0.22705757761897363,131253271.3498522,0.43501187,2.60668938,1.82905001,2022-03-01T19:22:00.000Z
