coin_name,coin_symbol,coin_price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,time
Internet Computer,ICP,18.95732932318038,231874358.00195298,1.32585374,4.09179531,3.20745028,2022-02-28T18:29:00.000Z
Internet Computer,ICP,18.963198691044116,231894089.05598128,1.33186111,4.13855518,3.33108433,2022-02-28T18:30:00.000Z
Internet Computer,ICP,18.97063629879394,232022150.67262623,1.30069454,4.2667979,3.60305461,2022-02-28T18:31:00.000Z
Internet Computer,ICP,18.97063629879394,232022150.67262623,1.30069454,4.2667979,3.60305461,2022-02-28T18:31:00.000Z
Internet Computer,ICP,18.978509240518093,232065053.79546493,1.26128223,4.36606652,3.56745055,2022-02-28T18:33:00.000Z
Internet Computer,ICP,18.98562026791688,232318885.37772164,1.15651233,4.54376438,3.70878807,2022-02-28T18:34:00.000Z
Internet Computer,ICP,19.172092155238943,234316913.6389617,0.12495137,8.00170923,3.86026554,2022-02-28T19:42:00.000Z
Internet Computer,ICP,19.26467831860185,233283056.03399712,0.84918594,9.98129512,4.07995726,2022-02-28T20:00:00.000Z
Internet Computer,ICP,19.26467831860185,233283056.03399712,0.84918594,9.98129512,4.07995726,2022-02-28T20:00:00.000Z
Internet Computer,ICP,19.26467831860185,233283056.03399712,0.84918594,9.98129512,4.07995726,2022-02-28T20:00:00.000Z
Internet Computer,ICP,19.234772515348087,230226839.8800291,0.71121399,10.61073001,3.69984826,2022-02-28T20:07:00.000Z
Internet Computer,ICP,19.270255431446873,229523586.32063037,1.0801421,10.81763037,4.17933147,2022-02-28T20:21:00.000Z
Internet Computer,ICP,19.480945623947473,314630303.9060181,0.32194798,2.23303762,10.36920912,2022-03-01T19:22:00.000Z
