coin_name,coin_symbol,coin_price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,time
Polkadot,DOT,17.692350646281486,1591465164.0952368,0.17774073,-2.52824571,7.31653545,2022-02-28T18:29:00.000Z
Polkadot,DOT,17.68803849672741,1591559100.9024522,0.13737588,-2.54704734,7.31649819,2022-02-28T18:30:00.000Z
Polkadot,DOT,17.682933063485795,1594209475.703862,0.13810646,-2.53399535,7.35825532,2022-02-28T18:31:00.000Z
Polkadot,DOT,17.682933063485795,1594209475.703862,0.13810646,-2.53399535,7.35825532,2022-02-28T18:31:00.000Z
Polkadot,DOT,17.67421423309846,1594015436.174281,0.03056138,-2.57843429,7.27927568,2022-02-28T18:33:00.000Z
Polkadot,DOT,17.640605160997342,1594834853.494934,-0.19906905,-2.69698514,7.16541933,2022-02-28T18:34:00.000Z
Polkadot,DOT,17.625850930350357,1574667398.8964765,-0.22826046,-0.57487241,6.2662651,2022-02-28T19:42:00.000Z
Polkadot,DOT,17.766598419491267,1578457232.0500739,0.32646094,1.68618715,6.64370302,2022-02-28T20:00:00.000Z
Polkadot,DOT,17.766598419491267,1578457232.0500739,0.32646094,1.68618715,6.64370302,2022-02-28T20:00:00.000Z
Polkadot,DOT,17.766598419491267,1578457232.0500739,0.32646094,1.68618715,6.64370302,2022-02-28T20:00:00.000Z
Polkadot,DOT,17.83350307849482,1574732318.6946406,0.92899508,2.94599013,6.79191509,2022-02-28T20:07:00.000Z
Polkadot,DOT,17.8228597884371,1577938965.4423578,0.88317727,2.89157664,7.09897283,2022-02-28T20:21:00.000Z
Polkadot,DOT,18.84414879966772,1927362011.925551,0.80876253,6.71848826,16.02820728,2022-03-01T19:22:00.000Z
