coin_name,coin_symbol,coin_price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,time
Polygon,MATIC,1.547989329863618,1232613851.76652,0.41126604,3.53327289,4.52968993,2022-02-28T18:29:00.000Z
Polygon,MATIC,1.5482767083284115,1232587132.7717788,0.41094514,3.53336132,4.58348435,2022-02-28T18:30:00.000Z
Polygon,MATIC,1.548187071791219,1233458149.2431073,0.35927301,3.45142645,4.63535187,2022-02-28T18:31:00.000Z
Polygon,MATIC,1.548187071791219,1233458149.2431073,0.35927301,3.45142645,4.63535187,2022-02-28T18:31:00.000Z
Polygon,MATIC,1.548066657728471,1233544421.672217,0.27112979,3.47582307,4.60571228,2022-02-28T18:33:00.000Z
Polygon,MATIC,1.547248348361604,1233582855.8696344,0.1071304,3.54138638,4.646519,2022-02-28T18:34:00.000Z
Polygon,MATIC,1.5436909459998764,1206513276.4054832,-0.31428143,6.00983617,4.05267541,2022-02-28T19:42:00.000Z
Polygon,MATIC,1.5457944937707704,1187997007.6697342,-0.34186562,7.51066412,3.7156569,2022-02-28T20:00:00.000Z
Polygon,MATIC,1.5457944937707704,1187997007.6697342,-0.34186562,7.51066412,3.7156569,2022-02-28T20:00:00.000Z
Polygon,MATIC,1.5457944937707704,1187997007.6697342,-0.34186562,7.51066412,3.7156569,2022-02-28T20:00:00.000Z
Polygon,MATIC,1.5475215988424564,1171164342.7335114,0.12974301,7.92737988,3.4971794,2022-02-28T20:07:00.000Z
Polygon,MATIC,1.5493724823599775,1163055297.740124,0.2214616,7.59873452,4.17188933,2022-02-28T20:21:00.000Z
Polygon,MATIC,1.6228488277044262,1465912153.1622565,1.51908737,4.97191196,13.70027858,2022-03-01T19:22:00.000Z
