coin_name,coin_symbol,coin_price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,time

Shiba Inu,SHIB,2.4912031783308117e-05,1505470306.0795932,0.53570845,2.36531524,-2.92233648,2022-02-28T18:29:00.000Z
Shiba Inu,SHIB,2.4915745379868082e-05,1505605384.1988013,0.50013435,2.37741344,-2.88443576,2022-02-28T18:30:00.000Z
Shiba Inu,SHIB,2.4892699641425464e-05,1505542896.3797157,0.33876269,2.20214713,-2.8769719,2022-02-28T18:31:00.000Z
Shiba Inu,SHIB,2.4892699641425464e-05,1505542896.3797157,0.33876269,2.20214713,-2.8769719,2022-02-28T18:31:00.000Z
Shiba Inu,SHIB,2.4892006188429602e-05,1505674531.2181866,0.28502029,2.23410241,-2.96737385,2022-02-28T18:33:00.000Z
Shiba Inu,SHIB,2.4892315581741124e-05,1506424645.414178,0.25498952,2.36076387,-3.04728831,2022-02-28T18:34:00.000Z
Shiba Inu,SHIB,2.494456835071192e-05,1441376764.082817,0.02397091,5.43397132,-3.67163679,2022-02-28T19:42:00.000Z
Shiba Inu,SHIB,2.5039492035153156e-05,1416342981.9436088,0.15187395,7.50178431,-3.55536697,2022-02-28T20:00:00.000Z
Shiba Inu,SHIB,2.5039492035153156e-05,1416342981.9436088,0.15187395,7.50178431,-3.55536697,2022-02-28T20:01:00.000Z
Shiba Inu,SHIB,2.5039492035153156e-05,1416342981.9436088,0.15187395,7.50178431,-3.55536697,2022-02-28T20:02:00.000Z
Shiba Inu,SHIB,2.5030628805259366e-05,1396474974.2881496,0.40212522,7.78258609,-3.98418161,2022-02-28T20:07:00.000Z
Shiba Inu,SHIB,2.4966815803288894e-05,1384651968.3624296,0.06487516,7.3272967,-3.70007287,2022-02-28T20:21:00.000Z
Shiba Inu,SHIB,2.6974904345629726e-05,2238399948.664307,0.67744882,8.08067638,10.21045067,2022-03-01T19:22:00.000Z
