coin_name,coin_symbol,coin_price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,time
Wrapped Bitcoin,WBTC,41082.027063698966,273649575.15941757,0.58611318,5.21597301,8.5330651,2022-02-28T18:29:00.000Z
Wrapped Bitcoin,WBTC,41080.83379674636,273632560.82601607,0.57056965,5.212989,8.59734581,2022-02-28T18:30:00.000Z
Wrapped Bitcoin,WBTC,41058.26819850008,273579977.10448223,0.51261722,5.16922224,8.60023931,2022-02-28T18:31:00.000Z
Wrapped Bitcoin,WBTC,41058.26819850008,273579977.10448223,0.51261722,5.16922224,8.60023931,2022-02-28T18:31:00.000Z
Wrapped Bitcoin,WBTC,41065.69124238765,273774522.2028277,0.53272852,5.18416098,8.62246736,2022-02-28T18:33:00.000Z
Wrapped Bitcoin,WBTC,41070.24206976187,273780661.6535069,0.51348359,5.25775736,8.73577454,2022-02-28T18:34:00.000Z
Wrapped Bitcoin,WBTC,41067.23446003449,261470916.22548288,0.0018619,7.13667705,8.06125003,2022-02-28T19:42:00.000Z
Wrapped Bitcoin,WBTC,41133.06382807748,256661331.23883334,0.19075403,8.49543304,7.91411497,2022-02-28T20:00:00.000Z
Wrapped Bitcoin,WBTC,41133.06382807748,256661331.23883334,0.19075403,8.49543304,7.91411497,2022-02-28T20:00:00.000Z
Wrapped Bitcoin,WBTC,41133.06382807748,256661331.23883334,0.19075403,8.49543304,7.91411497,2022-02-28T20:00:00.000Z
Wrapped Bitcoin,WBTC,41174.06228954325,253611380.49079368,0.40833203,9.02658046,7.95256165,2022-02-28T20:07:00.000Z
Wrapped Bitcoin,WBTC,41176.94022896547,250839949.04772317,0.30172234,9.19883647,8.1040761,2022-02-28T20:21:00.000Z
Wrapped Bitcoin,WBTC,43780.47015063444,380630598.7826666,0.5058507,6.65282143,15.99086404,2022-03-01T19:22:00.000Z
