coin_name,coin_symbol,coin_price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,time
Algorand,ALGO,0.8384450121313947,256413645.61136788,-0.02968602,1.52540182,1.19427631,2022-02-28T18:29:00.000Z
Algorand,ALGO,0.838618572614121,256395199.03723678,-0.01807719,1.51582719,1.23234818,2022-02-28T18:30:00.000Z
Algorand,ALGO,0.8382782152059268,256843242.18686783,-0.07232407,1.39288624,1.23274339,2022-02-28T18:31:00.000Z
Algorand,ALGO,0.8382782152059268,256843242.18686783,-0.07232407,1.39288624,1.23274339,2022-02-28T18:31:00.000Z
Algorand,ALGO,0.8383294004064326,256871890.20626777,-0.10102604,1.39168279,1.21091557,2022-02-28T18:33:00.000Z
Algorand,ALGO,0.8379608546640023,257050146.2435433,-0.19081587,1.39181874,1.32723637,2022-02-28T18:34:00.000Z
Algorand,ALGO,0.8381270863713962,256008714.34829295,-0.11137346,3.71571037,1.19480564,2022-02-28T19:42:00.000Z
Algorand,ALGO,0.8395417407386131,254818639.84208953,-0.25407388,5.21548809,0.94726033,2022-02-28T20:00:00.000Z
Algorand,ALGO,0.8395417407386131,254818639.84208953,-0.25407388,5.21548809,0.94726033,2022-02-28T20:00:00.000Z
Algorand,ALGO,0.8395417407386131,254818639.84208953,-0.25407388,5.21548809,0.94726033,2022-02-28T20:00:00.000Z
Algorand,ALGO,0.8397958985272362,250981454.35140273,0.15719185,5.84708255,0.92341555,2022-02-28T20:07:00.000Z
Algorand,ALGO,0.8410654319945442,250693823.9493669,0.41635789,6.09475132,1.3611978,2022-02-28T20:21:00.000Z
Algorand,ALGO,0.8558688427373652,377370859.17921406,0.07563646,2.16857118,6.60425151,2022-03-01T19:22:00.000Z
Algorand,ALGO,0.8014155786169025,407363641.46553963,0.00740176,-2.5503742,6.5464183,2022-03-03T17:03:00.000Z
Algorand,ALGO,0.8020828842645251,407645514.5737113,0.18445324,-2.86644769,7.53465278,2022-03-03T17:15:00.000Z
Algorand,ALGO,0.8017549299380549,406874741.41024977,0.23687031,-2.9195937,7.68512655,2022-03-03T17:16:00.000Z
Algorand,ALGO,0.8017549299380549,406874741.41024977,0.23687031,-2.9195937,7.68512655,2022-03-03T17:16:00.000Z
Algorand,ALGO,0.8019230202157123,406535903.1180087,0.11665028,-2.89614721,7.66361144,2022-03-03T17:18:00.000Z
Algorand,ALGO,0.8019230202157123,406535903.1180087,0.11665028,-2.89614721,7.66361144,2022-03-03T17:18:00.000Z
Algorand,ALGO,0.8006984160169053,406598561.23030925,-0.30783845,-2.9897467,7.78914064,2022-03-03T17:22:00.000Z
Algorand,ALGO,0.8006984160169053,406598561.23030925,-0.30783845,-2.9897467,7.78914064,2022-03-03T17:22:00.000Z
Algorand,ALGO,0.7996285288568323,406638276.4327097,-0.63949476,-3.08820086,7.69293575,2022-03-03T17:24:00.000Z
Algorand,ALGO,0.7996285288568323,406638276.4327097,-0.63949476,-3.08820086,7.69293575,2022-03-03T17:24:00.000Z
Algorand,ALGO,0.7996285288568323,406638276.4327097,-0.63949476,-3.08820086,7.69293575,2022-03-03T17:24:00.000Z
Algorand,ALGO,0.7996285288568323,406638276.4327097,-0.63949476,-3.08820086,7.69293575,2022-03-03T17:24:00.000Z
Algorand,ALGO,0.7996285288568323,406638276.4327097,-0.63949476,-3.08820086,7.69293575,2022-03-03T17:24:00.000Z
Algorand,ALGO,0.7996285288568323,406638276.4327097,-0.63949476,-3.08820086,7.69293575,2022-03-03T17:24:00.000Z
Algorand,ALGO,0.7996285288568323,406638276.4327097,-0.63949476,-3.08820086,7.69293575,2022-03-03T17:24:00.000Z
Algorand,ALGO,0.7944921228615855,407644797.98390335,-1.45533445,-3.6128442,6.90753248,2022-03-03T17:29:00.000Z
Algorand,ALGO,0.7944921228615855,407644797.98390335,-1.45533445,-3.6128442,6.90753248,2022-03-03T17:29:00.000Z
Algorand,ALGO,0.797810556552993,412219121.3480138,-0.48133157,-2.30992733,7.47215226,2022-03-03T17:57:00.000Z
Algorand,ALGO,0.7976372333198533,412432295.6920303,-0.4312229,-2.34866599,7.31903325,2022-03-03T17:59:00.000Z
Algorand,ALGO,0.797659342984799,412155024.790362,-0.42257904,-2.34960457,7.32467727,2022-03-03T18:00:00.000Z
Algorand,ALGO,0.7966935092294087,411821647.12775314,-0.51783128,-2.43941685,7.43679526,2022-03-03T18:01:00.000Z
Algorand,ALGO,0.7966935092294087,411821647.12775314,-0.51783128,-2.43941685,7.43679526,2022-03-03T18:01:00.000Z
