coin_name,coin_symbol,coin_price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,time
Cronos,CRO,0.42083514376489717,123064625.83454828,0.33411857,1.9033078,5.27415201,2022-02-28T18:29:00.000Z
Cronos,CRO,0.4207705793377561,123086686.9135558,0.30893325,1.8758186,5.32862806,2022-02-28T18:30:00.000Z
Cronos,CRO,0.4204391365471944,122958580.05552809,0.30262292,1.75644149,5.40346574,2022-02-28T18:31:00.000Z
Cronos,CRO,0.4204391365471944,122958580.05552809,0.30262292,1.75644149,5.40346574,2022-02-28T18:31:00.000Z
Cronos,CRO,0.42039422412617644,122994988.51815575,0.27277187,1.76238795,5.33644522,2022-02-28T18:33:00.000Z
Cronos,CRO,0.4202712308608891,123200126.57392836,0.20276184,1.74282045,5.34244093,2022-02-28T18:34:00.000Z
Cronos,CRO,0.42081043889175757,122346562.81599818,0.12466485,4.08423529,4.2432846,2022-02-28T19:42:00.000Z
Cronos,CRO,0.4220831728246794,121636677.11182134,0.34002656,6.06002255,4.28464434,2022-02-28T20:00:00.000Z
Cronos,CRO,0.4220831728246794,121636677.11182134,0.34002656,6.06002255,4.28464434,2022-02-28T20:00:00.000Z
Cronos,CRO,0.4220831728246794,121636677.11182134,0.34002656,6.06002255,4.28464434,2022-02-28T20:00:00.000Z
Cronos,CRO,0.42241049795301017,119878522.57053825,0.74506931,6.63319229,4.13219079,2022-02-28T20:07:00.000Z
Cronos,CRO,0.424269128986981,120177128.38689137,1.19068869,7.12083611,4.79070217,2022-02-28T20:21:00.000Z
Cronos,CRO,0.4375703617675411,160917172.05915794,0.0718044,4.28136284,10.37851131,2022-03-01T19:22:00.000Z
Cronos,CRO,0.42372830680178236,80671242.30767187,-0.35062134,-5.28116792,12.69025522,2022-03-03T17:03:00.000Z
Cronos,CRO,0.42426040043567054,80067824.37199375,0.00999533,-5.34200172,13.7507939,2022-03-03T17:15:00.000Z
Cronos,CRO,0.42377622390742503,79924461.85148613,-0.00010728,-5.43081194,13.8510509,2022-03-03T17:16:00.000Z
Cronos,CRO,0.42377622390742503,79924461.85148613,-0.00010728,-5.43081194,13.8510509,2022-03-03T17:16:00.000Z
Cronos,CRO,0.4237933472601186,79979173.44186343,-0.06097405,-5.43690146,13.84515458,2022-03-03T17:18:00.000Z
Cronos,CRO,0.4237933472601186,79979173.44186343,-0.06097405,-5.43690146,13.84515458,2022-03-03T17:18:00.000Z
Cronos,CRO,0.4231523175928893,79886178.41682577,-0.48692988,-5.53437787,13.76493315,2022-03-03T17:22:00.000Z
Cronos,CRO,0.4231523175928893,79886178.41682577,-0.48692988,-5.53437787,13.76493315,2022-03-03T17:22:00.000Z
Cronos,CRO,0.42285705097053383,79889621.64387852,-0.66118557,-5.55977987,13.72964837,2022-03-03T17:24:00.000Z
Cronos,CRO,0.42285705097053383,79889621.64387852,-0.66118557,-5.55977987,13.72964837,2022-03-03T17:24:00.000Z
Cronos,CRO,0.42285705097053383,79889621.64387852,-0.66118557,-5.55977987,13.72964837,2022-03-03T17:24:00.000Z
Cronos,CRO,0.42285705097053383,79889621.64387852,-0.66118557,-5.55977987,13.72964837,2022-03-03T17:24:00.000Z
Cronos,CRO,0.42285705097053383,79889621.64387852,-0.66118557,-5.55977987,13.72964837,2022-03-03T17:24:00.000Z
Cronos,CRO,0.42285705097053383,79889621.64387852,-0.66118557,-5.55977987,13.72964837,2022-03-03T17:24:00.000Z
Cronos,CRO,0.42285705097053383,79889621.64387852,-0.66118557,-5.55977987,13.72964837,2022-03-03T17:24:00.000Z
Cronos,CRO,0.42134445214270266,79820713.50114407,-1.3027301,-5.60192146,12.91174333,2022-03-03T17:29:00.000Z
Cronos,CRO,0.42134445214270266,79820713.50114407,-1.3027301,-5.60192146,12.91174333,2022-03-03T17:29:00.000Z
Cronos,CRO,0.4242793892342113,80019761.85675287,0.02785606,-4.30572652,13.71882468,2022-03-03T17:57:00.000Z
Cronos,CRO,0.42394365530434325,79922911.25059491,0.01439194,-4.48308941,13.49295759,2022-03-03T17:59:00.000Z
Cronos,CRO,0.4239222668860977,79962082.1206444,0.01893779,-4.47940823,13.49130268,2022-03-03T18:00:00.000Z
Cronos,CRO,0.4235218864843921,79941981.30690631,-0.04781063,-4.49829114,13.58547531,2022-03-03T18:01:00.000Z
Cronos,CRO,0.4235218864843921,79941981.30690631,-0.04781063,-4.49829114,13.58547531,2022-03-03T18:01:00.000Z
Cronos,CRO,0.4235218864843921,79941981.30690631,-0.04781063,-4.49829114,13.58547531,2022-03-03T18:01:00.000Z
Cronos,CRO,0.4235218864843921,79941981.30690631,-0.04781063,-4.49829114,13.58547531,2022-03-03T18:01:00.000Z
Cronos,CRO,0.4252581333862864,79372996.54951453,0.56351273,-4.20142067,13.74887635,2022-03-03T18:08:00.000Z
Cronos,CRO,0.4254166952505605,79284925.39632839,0.42129499,-4.18707157,13.77591361,2022-03-03T18:19:00.000Z
Cronos,CRO,0.4254166952505605,79284925.39632839,0.42129499,-4.18707157,13.77591361,2022-03-03T18:19:00.000Z
Cronos,CRO,0.4255503871425556,79152167.78341804,0.59828125,-3.99613234,13.57249317,2022-03-03T18:23:00.000Z
Cronos,CRO,0.4253905854644165,79204814.72285657,0.87915871,-3.96129966,13.68842626,2022-03-03T18:26:00.000Z
Cronos,CRO,0.4253905854644165,79204814.72285657,0.87915871,-3.96129966,13.68842626,2022-03-03T18:26:00.000Z
Cronos,CRO,0.4253734179045404,79223827.89938284,0.88471431,-3.96706633,13.68141603,2022-03-03T18:27:00.000Z
Cronos,CRO,0.424768337518134,79237838.01831064,0.67800253,-4.27886089,13.67946485,2022-03-03T18:33:00.000Z
Cronos,CRO,0.42499526737867227,79518584.28131053,0.40782612,-4.24558877,13.69040147,2022-03-03T18:36:00.000Z
Cronos,CRO,0.4252044410746248,79605139.5568192,0.19806219,-4.12686194,13.66627926,2022-03-03T18:37:00.000Z
Cronos,CRO,0.42523876474320077,79652816.83230092,0.15345389,-4.12083349,13.60081307,2022-03-03T18:38:00.000Z
Cronos,CRO,0.4250864703891857,79620762.78510998,0.1147729,-4.14480651,13.56559318,2022-03-03T18:39:00.000Z
Cronos,CRO,0.4248536267756814,79623452.89841667,0.13988813,-4.04153861,13.18257768,2022-03-03T18:41:00.000Z
Cronos,CRO,0.4249361049265464,79371445.25005996,0.31978956,-3.74969838,12.95911291,2022-03-03T18:47:00.000Z
Cronos,CRO,0.4248725216512752,79404788.56953213,0.27710277,-3.77305616,12.89101416,2022-03-03T18:48:00.000Z
Cronos,CRO,0.4270923252474441,79002823.17300689,0.39394034,-2.9474986,11.34996434,2022-03-03T19:25:00.000Z
Cronos,CRO,0.42781974733333966,79193652.29103833,0.71837036,-2.78681234,11.51428968,2022-03-03T19:33:00.000Z
Cronos,CRO,0.427252188092874,79212186.80521153,0.5394654,-2.89202414,11.02769914,2022-03-03T19:34:00.000Z
Cronos,CRO,0.427252188092874,79212186.80521153,0.5394654,-2.89202414,11.02769914,2022-03-03T19:34:00.000Z
Cronos,CRO,0.4274062066287952,79189430.8760486,0.54570926,-3.14785542,10.69791415,2022-03-03T19:39:00.000Z
Cronos,CRO,0.4267657972899683,78942818.281082,0.44380676,-3.57539026,10.19354752,2022-03-03T19:45:00.000Z
Cronos,CRO,0.4263408111944087,78863391.44320299,0.31594544,-3.63973842,9.8837149,2022-03-03T19:46:00.000Z
Cronos,CRO,0.42586916985475975,78883202.56963025,0.29147696,-3.7812838,9.93325763,2022-03-03T19:49:00.000Z
Cronos,CRO,0.42585805354570777,78881863.51971842,0.26525185,-3.78049024,9.87412045,2022-03-03T19:50:00.000Z
Cronos,CRO,0.4252156655438896,78836200.39161365,-0.21207935,-4.01763056,9.61942786,2022-03-03T19:52:00.000Z
Cronos,CRO,0.4260683930875051,78715387.6350698,7.45e-05,-3.85085926,9.89766794,2022-03-03T19:56:00.000Z
Cronos,CRO,0.42674895118686407,78958834.85271613,0.3139914,-3.66114733,10.10874053,2022-03-03T19:58:00.000Z
Cronos,CRO,0.42587405830452707,78880976.78674524,0.12993722,-3.85202842,9.50208698,2022-03-03T20:01:00.000Z
Cronos,CRO,0.3827786656871982,67200176.58038521,0.11748117,1.42655517,-1.03659671,2022-03-15T17:18:00.000Z
Cronos,CRO,0.3827322935722421,67399256.13264233,0.02210458,1.57843734,-1.50463424,2022-03-15T17:26:00.000Z
Cronos,CRO,0.3835914457415018,67150972.36570701,-0.0160996,2.15013219,-2.20715677,2022-03-15T18:06:00.000Z
Cronos,CRO,0.38281418970416364,66794738.74906236,0.08862923,1.82734247,-2.65276671,2022-03-15T18:23:00.000Z
