coin_name,coin_symbol,coin_price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,time
Polkadot,DOT,17.692350646281486,1591465164.0952368,0.17774073,-2.52824571,7.31653545,2022-02-28T18:29:00.000Z
Polkadot,DOT,17.68803849672741,1591559100.9024522,0.13737588,-2.54704734,7.31649819,2022-02-28T18:30:00.000Z
Polkadot,DOT,17.682933063485795,1594209475.703862,0.13810646,-2.53399535,7.35825532,2022-02-28T18:31:00.000Z
Polkadot,DOT,17.682933063485795,1594209475.703862,0.13810646,-2.53399535,7.35825532,2022-02-28T18:31:00.000Z
Polkadot,DOT,17.67421423309846,1594015436.174281,0.03056138,-2.57843429,7.27927568,2022-02-28T18:33:00.000Z
Polkadot,DOT,17.640605160997342,1594834853.494934,-0.19906905,-2.69698514,7.16541933,2022-02-28T18:34:00.000Z
Polkadot,DOT,17.625850930350357,1574667398.8964765,-0.22826046,-0.57487241,6.2662651,2022-02-28T19:42:00.000Z
Polkadot,DOT,17.766598419491267,1578457232.0500739,0.32646094,1.68618715,6.64370302,2022-02-28T20:00:00.000Z
Polkadot,DOT,17.766598419491267,1578457232.0500739,0.32646094,1.68618715,6.64370302,2022-02-28T20:00:00.000Z
Polkadot,DOT,17.766598419491267,1578457232.0500739,0.32646094,1.68618715,6.64370302,2022-02-28T20:00:00.000Z
Polkadot,DOT,17.83350307849482,1574732318.6946406,0.92899508,2.94599013,6.79191509,2022-02-28T20:07:00.000Z
Polkadot,DOT,17.8228597884371,1577938965.4423578,0.88317727,2.89157664,7.09897283,2022-02-28T20:21:00.000Z
Polkadot,DOT,18.84414879966772,1927362011.925551,0.80876253,6.71848826,16.02820728,2022-03-01T19:22:00.000Z
Polkadot,DOT,18.128409214849068,968593769.7955889,0.11442979,-2.85483938,17.94652859,2022-03-03T17:03:00.000Z
Polkadot,DOT,18.146185351709878,967363882.1566888,0.36923198,-3.08134797,19.02152702,2022-03-03T17:15:00.000Z
Polkadot,DOT,18.127806306243272,966681347.5875195,0.3688529,-3.20372545,19.12876265,2022-03-03T17:16:00.000Z
Polkadot,DOT,18.127806306243272,966681347.5875195,0.3688529,-3.20372545,19.12876265,2022-03-03T17:16:00.000Z
Polkadot,DOT,18.13251895765072,967168626.0854903,0.22230514,-3.15811719,19.13468579,2022-03-03T17:18:00.000Z
Polkadot,DOT,18.13251895765072,967168626.0854903,0.22230514,-3.15811719,19.13468579,2022-03-03T17:18:00.000Z
Polkadot,DOT,18.119664289732018,967191498.4683948,-0.12461352,-3.09224946,19.39529948,2022-03-03T17:22:00.000Z
Polkadot,DOT,18.119664289732018,967191498.4683948,-0.12461352,-3.09224946,19.39529948,2022-03-03T17:22:00.000Z
Polkadot,DOT,18.091826188501923,966818053.7326974,-0.37635306,-3.19167199,19.19676715,2022-03-03T17:24:00.000Z
Polkadot,DOT,18.091826188501923,966818053.7326974,-0.37635306,-3.19167199,19.19676715,2022-03-03T17:24:00.000Z
Polkadot,DOT,18.091826188501923,966818053.7326974,-0.37635306,-3.19167199,19.19676715,2022-03-03T17:24:00.000Z
Polkadot,DOT,18.091826188501923,966818053.7326974,-0.37635306,-3.19167199,19.19676715,2022-03-03T17:24:00.000Z
Polkadot,DOT,18.091826188501923,966818053.7326974,-0.37635306,-3.19167199,19.19676715,2022-03-03T17:24:00.000Z
Polkadot,DOT,18.091826188501923,966818053.7326974,-0.37635306,-3.19167199,19.19676715,2022-03-03T17:24:00.000Z
Polkadot,DOT,18.091826188501923,966818053.7326974,-0.37635306,-3.19167199,19.19676715,2022-03-03T17:24:00.000Z
Polkadot,DOT,17.97735242829933,974163678.3811085,-1.21377779,-3.70014649,17.98311562,2022-03-03T17:29:00.000Z
Polkadot,DOT,17.97735242829933,974163678.3811085,-1.21377779,-3.70014649,17.98311562,2022-03-03T17:29:00.000Z
Polkadot,DOT,18.132004201780394,1003381014.2289774,-0.01142923,-2.43406085,18.35363292,2022-03-03T17:57:00.000Z
Polkadot,DOT,18.128158331297588,1002071621.0651768,-0.02178546,-2.45260312,18.27210636,2022-03-03T17:59:00.000Z
Polkadot,DOT,18.131635472879395,1002242043.2434262,0.02247098,-2.42885083,18.28184562,2022-03-03T18:00:00.000Z
Polkadot,DOT,18.10465433936497,1000248643.6543198,-0.07695801,-2.47491373,18.4611473,2022-03-03T18:01:00.000Z
Polkadot,DOT,18.10465433936497,1000248643.6543198,-0.07695801,-2.47491373,18.4611473,2022-03-03T18:01:00.000Z
Polkadot,DOT,18.10465433936497,1000248643.6543198,-0.07695801,-2.47491373,18.4611473,2022-03-03T18:01:00.000Z
Polkadot,DOT,18.10465433936497,1000248643.6543198,-0.07695801,-2.47491373,18.4611473,2022-03-03T18:01:00.000Z
Polkadot,DOT,18.160200710568372,1000608419.5092163,0.24897202,-2.55420661,18.37532746,2022-03-03T18:08:00.000Z
Polkadot,DOT,18.192142711848863,1003119693.698972,0.30469908,-2.35771476,18.35467063,2022-03-03T18:19:00.000Z
Polkadot,DOT,18.192142711848863,1003119693.698972,0.30469908,-2.35771476,18.35467063,2022-03-03T18:19:00.000Z
Polkadot,DOT,18.187356904362492,1003527980.9348968,0.45131337,-2.33916559,18.08127217,2022-03-03T18:23:00.000Z
Polkadot,DOT,18.160052355994257,1002858972.4928985,0.85158005,-2.35237633,18.05281736,2022-03-03T18:26:00.000Z
Polkadot,DOT,18.160052355994257,1002858972.4928985,0.85158005,-2.35237633,18.05281736,2022-03-03T18:26:00.000Z
Polkadot,DOT,18.159404509947265,1002822743.6605326,0.84764269,-2.363892,18.03889931,2022-03-03T18:27:00.000Z
Polkadot,DOT,18.129926123186454,1004491035.7971097,0.89309656,-2.58875616,18.18446355,2022-03-03T18:33:00.000Z
Polkadot,DOT,18.10302691033261,1006180527.1781214,0.01033282,-2.84141826,18.05557528,2022-03-03T18:36:00.000Z
Polkadot,DOT,18.084605954428127,1005837100.5734241,-0.46502368,-2.94004764,17.87560944,2022-03-03T18:37:00.000Z
Polkadot,DOT,18.08108754598256,1005839187.4157689,-0.52069335,-2.98140859,17.75146432,2022-03-03T18:38:00.000Z
Polkadot,DOT,18.077410312347496,1005810979.8884209,-0.47556651,-2.98129368,17.71688327,2022-03-03T18:39:00.000Z
Polkadot,DOT,18.069192306839945,1007327972.0578403,-0.21187392,-2.91101759,17.25442384,2022-03-03T18:41:00.000Z
Polkadot,DOT,18.07898558977734,1002954415.2921654,-0.08843746,-2.19453607,16.65042295,2022-03-03T18:47:00.000Z
Polkadot,DOT,18.07391604449751,1002619824.7799153,-0.13513234,-2.23195876,16.55533443,2022-03-03T18:48:00.000Z
Polkadot,DOT,18.132462137116693,999074561.6332228,-0.15279686,-1.77453487,14.69166891,2022-03-03T19:25:00.000Z
Polkadot,DOT,18.16358401315105,1000156437.2311691,0.18564825,-1.49394825,14.7454496,2022-03-03T19:33:00.000Z
Polkadot,DOT,18.16316340926684,1000646109.1478553,0.27551146,-1.35058088,14.38249067,2022-03-03T19:34:00.000Z
Polkadot,DOT,18.16316340926684,1000646109.1478553,0.27551146,-1.35058088,14.38249067,2022-03-03T19:34:00.000Z
Polkadot,DOT,18.135889668813796,1003901880.5404005,0.3234941,-1.98329555,13.8526539,2022-03-03T19:39:00.000Z
Polkadot,DOT,18.108111391113834,1003730219.0288029,0.11991813,-2.31462026,13.74852074,2022-03-03T19:45:00.000Z
Polkadot,DOT,18.093707373094006,1004430372.2679878,0.05490577,-2.4000016,13.27659505,2022-03-03T19:46:00.000Z
Polkadot,DOT,18.064045447132735,1003926964.5582469,0.03421979,-2.61646451,13.44564911,2022-03-03T19:49:00.000Z
Polkadot,DOT,18.064698027991003,1004034519.9737407,0.00112129,-2.61479013,13.35200057,2022-03-03T19:50:00.000Z
Polkadot,DOT,18.03767468279908,1004219927.7951742,-0.60682187,-2.90358787,12.84979667,2022-03-03T19:52:00.000Z
Polkadot,DOT,18.05851549546003,1002402594.1772496,-0.41494123,-2.84204659,12.72352067,2022-03-03T19:56:00.000Z
Polkadot,DOT,18.05307475020794,1002800966.5187176,-0.14083682,-2.72895939,12.63953478,2022-03-03T19:58:00.000Z
Polkadot,DOT,18.053565199666334,1001989511.5398308,-0.13686532,-2.60393028,12.35448691,2022-03-03T20:01:00.000Z
Polkadot,DOT,17.690345583950574,680984953.1297774,0.71936023,1.53832319,4.49743395,2022-03-15T17:18:00.000Z
