coin_name,coin_symbol,coin_price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,time
Wrapped Bitcoin,WBTC,41082.027063698966,273649575.15941757,0.58611318,5.21597301,8.5330651,2022-02-28T18:29:00.000Z
Wrapped Bitcoin,WBTC,41080.83379674636,273632560.82601607,0.57056965,5.212989,8.59734581,2022-02-28T18:30:00.000Z
Wrapped Bitcoin,WBTC,41058.26819850008,273579977.10448223,0.51261722,5.16922224,8.60023931,2022-02-28T18:31:00.000Z
Wrapped Bitcoin,WBTC,41058.26819850008,273579977.10448223,0.51261722,5.16922224,8.60023931,2022-02-28T18:31:00.000Z
Wrapped Bitcoin,WBTC,41065.69124238765,273774522.2028277,0.53272852,5.18416098,8.62246736,2022-02-28T18:33:00.000Z
Wrapped Bitcoin,WBTC,41070.24206976187,273780661.6535069,0.51348359,5.25775736,8.73577454,2022-02-28T18:34:00.000Z
Wrapped Bitcoin,WBTC,41067.23446003449,261470916.22548288,0.0018619,7.13667705,8.06125003,2022-02-28T19:42:00.000Z
Wrapped Bitcoin,WBTC,41133.06382807748,256661331.23883334,0.19075403,8.49543304,7.91411497,2022-02-28T20:00:00.000Z
Wrapped Bitcoin,WBTC,41133.06382807748,256661331.23883334,0.19075403,8.49543304,7.91411497,2022-02-28T20:00:00.000Z
Wrapped Bitcoin,WBTC,41133.06382807748,256661331.23883334,0.19075403,8.49543304,7.91411497,2022-02-28T20:00:00.000Z
Wrapped Bitcoin,WBTC,41174.06228954325,253611380.49079368,0.40833203,9.02658046,7.95256165,2022-02-28T20:07:00.000Z
Wrapped Bitcoin,WBTC,41176.94022896547,250839949.04772317,0.30172234,9.19883647,8.1040761,2022-02-28T20:21:00.000Z
Wrapped Bitcoin,WBTC,43780.47015063444,380630598.7826666,0.5058507,6.65282143,15.99086404,2022-03-01T19:22:00.000Z
Wrapped Bitcoin,WBTC,42509.38469729672,226579927.8457987,-0.17316571,-3.95785423,17.77855589,2022-03-03T17:03:00.000Z
Wrapped Bitcoin,WBTC,42465.15628869013,224230446.92781997,-0.16633341,-4.1050882,18.24552595,2022-03-03T17:15:00.000Z
Wrapped Bitcoin,WBTC,42490.764788849425,224310513.45054814,-0.07871748,-4.05558794,18.40361451,2022-03-03T17:16:00.000Z
Wrapped Bitcoin,WBTC,42490.764788849425,224310513.45054814,-0.07871748,-4.05558794,18.40361451,2022-03-03T17:16:00.000Z
Wrapped Bitcoin,WBTC,42492.9825191938,224328327.77511883,-0.12346195,-4.02721771,18.37663955,2022-03-03T17:18:00.000Z
Wrapped Bitcoin,WBTC,42492.9825191938,224328327.77511883,-0.12346195,-4.02721771,18.37663955,2022-03-03T17:18:00.000Z
Wrapped Bitcoin,WBTC,42438.76437755143,223546006.84415498,-0.29337071,-4.10070442,18.39340789,2022-03-03T17:22:00.000Z
Wrapped Bitcoin,WBTC,42438.76437755143,223546006.84415498,-0.29337071,-4.10070442,18.39340789,2022-03-03T17:22:00.000Z
Wrapped Bitcoin,WBTC,42447.12820890287,223593021.7222412,-0.31018654,-4.06038747,18.41525572,2022-03-03T17:24:00.000Z
Wrapped Bitcoin,WBTC,42447.12820890287,223593021.7222412,-0.31018654,-4.06038747,18.41525572,2022-03-03T17:24:00.000Z
Wrapped Bitcoin,WBTC,42447.12820890287,223593021.7222412,-0.31018654,-4.06038747,18.41525572,2022-03-03T17:24:00.000Z
Wrapped Bitcoin,WBTC,42447.12820890287,223593021.7222412,-0.31018654,-4.06038747,18.41525572,2022-03-03T17:24:00.000Z
Wrapped Bitcoin,WBTC,42447.12820890287,223593021.7222412,-0.31018654,-4.06038747,18.41525572,2022-03-03T17:24:00.000Z
Wrapped Bitcoin,WBTC,42447.12820890287,223593021.7222412,-0.31018654,-4.06038747,18.41525572,2022-03-03T17:24:00.000Z
Wrapped Bitcoin,WBTC,42447.12820890287,223593021.7222412,-0.31018654,-4.06038747,18.41525572,2022-03-03T17:24:00.000Z
Wrapped Bitcoin,WBTC,42310.5023714644,223625360.58542275,-0.79746991,-4.26134022,17.91585939,2022-03-03T17:29:00.000Z
Wrapped Bitcoin,WBTC,42310.5023714644,223625360.58542275,-0.79746991,-4.26134022,17.91585939,2022-03-03T17:29:00.000Z
Wrapped Bitcoin,WBTC,42420.35553261448,222610165.43117455,-0.16318418,-3.51931255,18.32886044,2022-03-03T17:57:00.000Z
Wrapped Bitcoin,WBTC,42424.14521341771,222615798.05397245,-0.18757071,-3.47955234,18.21685848,2022-03-03T17:59:00.000Z
Wrapped Bitcoin,WBTC,42431.30469945526,222789868.4557535,-0.15696088,-3.4566466,18.22917409,2022-03-03T18:00:00.000Z
Wrapped Bitcoin,WBTC,42416.3140979936,223420899.74973074,-0.20235866,-3.44040163,18.3109031,2022-03-03T18:01:00.000Z
Wrapped Bitcoin,WBTC,42416.3140979936,223420899.74973074,-0.20235866,-3.44040163,18.3109031,2022-03-03T18:01:00.000Z
Wrapped Bitcoin,WBTC,42416.3140979936,223420899.74973074,-0.20235866,-3.44040163,18.3109031,2022-03-03T18:01:00.000Z
Wrapped Bitcoin,WBTC,42416.3140979936,223420899.74973074,-0.20235866,-3.44040163,18.3109031,2022-03-03T18:01:00.000Z
Wrapped Bitcoin,WBTC,42469.23507014517,224046640.8830471,-0.0289316,-3.43146546,18.32191826,2022-03-03T18:08:00.000Z
Wrapped Bitcoin,WBTC,42495.40496356619,224072981.80336726,0.08687607,-3.317746,18.33373318,2022-03-03T18:19:00.000Z
Wrapped Bitcoin,WBTC,42495.40496356619,224072981.80336726,0.08687607,-3.317746,18.33373318,2022-03-03T18:19:00.000Z
Wrapped Bitcoin,WBTC,42498.03152478975,223955395.54066902,0.1558079,-3.26890148,18.29064529,2022-03-03T18:23:00.000Z
Wrapped Bitcoin,WBTC,42471.91852293814,223650894.60739085,0.29023034,-3.30902571,18.22729723,2022-03-03T18:26:00.000Z
Wrapped Bitcoin,WBTC,42471.91852293814,223650894.60739085,0.29023034,-3.30902571,18.22729723,2022-03-03T18:26:00.000Z
Wrapped Bitcoin,WBTC,42469.175603407966,223631292.42599133,0.29050816,-3.31265863,18.21588227,2022-03-03T18:27:00.000Z
Wrapped Bitcoin,WBTC,42464.54894544552,223790593.48520035,0.49198875,-3.3050177,18.40445508,2022-03-03T18:33:00.000Z
Wrapped Bitcoin,WBTC,42419.586950824436,223572942.23867005,0.27245981,-3.43555375,18.24553962,2022-03-03T18:36:00.000Z
Wrapped Bitcoin,WBTC,42391.02872298333,223719857.78207207,0.02237438,-3.50519757,18.15280123,2022-03-03T18:37:00.000Z
Wrapped Bitcoin,WBTC,42390.42156874531,223697659.79612198,-0.03623465,-3.4995048,18.11128642,2022-03-03T18:38:00.000Z
Wrapped Bitcoin,WBTC,42389.18761993598,223687825.0438307,-0.0157501,-3.48678193,18.10636587,2022-03-03T18:39:00.000Z
Wrapped Bitcoin,WBTC,42376.72820805983,223632555.32683605,-0.19758425,-3.48820308,17.83491434,2022-03-03T18:41:00.000Z
Wrapped Bitcoin,WBTC,42355.04661003956,223045730.887258,-0.20732554,-3.22920466,17.5325486,2022-03-03T18:47:00.000Z
Wrapped Bitcoin,WBTC,42352.74954007557,223039273.32646,-0.19493717,-3.24212096,17.48267174,2022-03-03T18:48:00.000Z
Wrapped Bitcoin,WBTC,42374.511984045865,224603757.2067099,-0.24228235,-2.94147949,15.66526767,2022-03-03T19:25:00.000Z
Wrapped Bitcoin,WBTC,42388.92633873509,224434735.5161063,-0.17808409,-2.71926737,15.68311542,2022-03-03T19:33:00.000Z
Wrapped Bitcoin,WBTC,42369.20767486409,224437706.6583028,-0.11313934,-2.77253097,15.52036754,2022-03-03T19:34:00.000Z
Wrapped Bitcoin,WBTC,42369.20767486409,224437706.6583028,-0.11313934,-2.77253097,15.52036754,2022-03-03T19:34:00.000Z
Wrapped Bitcoin,WBTC,42385.7910470023,224388198.12510362,-0.00801283,-2.78274372,15.41463339,2022-03-03T19:39:00.000Z
Wrapped Bitcoin,WBTC,42346.926569703246,224150925.3381538,-0.04195918,-3.02924038,14.65362873,2022-03-03T19:45:00.000Z
Wrapped Bitcoin,WBTC,42341.44611384545,224081444.91802585,-0.03840495,-3.0844586,14.48129017,2022-03-03T19:46:00.000Z
Wrapped Bitcoin,WBTC,42292.878145323164,224241519.98102418,-0.13013036,-3.28978702,14.47545719,2022-03-03T19:49:00.000Z
Wrapped Bitcoin,WBTC,42298.49404899738,224258377.1805689,-0.14472536,-3.27541993,14.45142093,2022-03-03T19:50:00.000Z
Wrapped Bitcoin,WBTC,42253.80614735429,224121993.9328133,-0.33085655,-3.35180181,14.21024005,2022-03-03T19:52:00.000Z
Wrapped Bitcoin,WBTC,42270.55403391065,224489159.063525,-0.31351615,-3.28104201,14.18489232,2022-03-03T19:56:00.000Z
Wrapped Bitcoin,WBTC,42268.176254052916,224343215.60276902,-0.21221473,-3.34846394,14.05074564,2022-03-03T19:58:00.000Z
Wrapped Bitcoin,WBTC,42271.98858641146,224444105.8629365,-0.15309962,-3.35248177,13.83047096,2022-03-03T20:01:00.000Z
Wrapped Bitcoin,WBTC,39102.42123677049,146583336.02209064,0.10696948,0.86841788,1.11799727,2022-03-15T17:18:00.000Z
Wrapped Bitcoin,WBTC,39117.864969754555,147708978.85399425,0.08095308,0.997889,0.61436297,2022-03-15T17:26:00.000Z
Wrapped Bitcoin,WBTC,39172.867284560845,142637238.94848353,0.04838557,1.12880056,0.01959229,2022-03-15T18:06:00.000Z
Wrapped Bitcoin,WBTC,39168.45331627531,142485332.5142896,0.19057339,1.17664101,-0.26936947,2022-03-15T18:23:00.000Z
